id,instrument_id,symbol,datetime,price,volume
195,,solana,2025-10-28T03:01:27.416000+00:00,200.48835238976557,
48,,bitcoin,2025-10-28T03:01:10.146000+00:00,113915.6145651774,
122,,ethereum,2025-10-28T03:00:19.078000+00:00,4094.000936192878,
121,,ethereum,2025-10-28T02:01:36.507000+00:00,4137.21632837066,
194,,solana,2025-10-28T02:01:30.416000+00:00,201.5673070019453,
47,,bitcoin,2025-10-28T02:01:27.263000+00:00,114432.66116338983,
193,,solana,2025-10-28T01:04:15.813000+00:00,199.85650470315647,
120,,ethereum,2025-10-28T01:03:05.857000+00:00,4119.084006984109,
46,,bitcoin,2025-10-28T01:03:03.111000+00:00,114007.46090415215,
192,,solana,2025-10-28T00:01:46.668000+00:00,198.81130112961708,
119,,ethereum,2025-10-28T00:01:15.995000+00:00,4123.206220671679,
45,,bitcoin,2025-10-28T00:01:14.861000+00:00,114182.79442806762,
118,,ethereum,2025-10-27T23:05:37.147000+00:00,4116.3675585614255,
191,,solana,2025-10-27T23:04:33.934000+00:00,198.2552309740203,
44,,bitcoin,2025-10-27T23:03:31.873000+00:00,114083.62215827091,
190,,solana,2025-10-27T22:01:52.774000+00:00,199.27424302905422,
117,,ethereum,2025-10-27T22:01:52.592000+00:00,4127.936866545744,
43,,bitcoin,2025-10-27T22:01:44.244000+00:00,114483.57892379885,
189,,solana,2025-10-27T21:02:13.685000+00:00,199.30329511993938,
116,,ethereum,2025-10-27T21:02:13.492000+00:00,4132.4399467086905,
42,,bitcoin,2025-10-27T21:02:13.243000+00:00,114556.78780221104,
115,,ethereum,2025-10-27T20:01:51.361000+00:00,4201.323165697443,
188,,solana,2025-10-27T20:01:50.512000+00:00,200.27258990038084,
41,,bitcoin,2025-10-27T20:01:50.146000+00:00,114851.0039675739,
114,,ethereum,2025-10-27T19:01:31.965000+00:00,4216.903047442572,
40,,bitcoin,2025-10-27T19:01:18.128000+00:00,115351.62818111318,
